0x00;NOP
0xC5;PUSH BC
0xC6;ADD A, {0:02X}
0xC7;RST 00H
0xC8;RET Z
0xC9;RET
0xCA;JP Z, {0:04X}
0xCC;CALL Z, {0:04X}
0xCD;CALL {0:04X}
0xCE;ADC A, {0:02X}
0xCF;RST 08H
0xD0;RET NC
0xD1;POP DE
0xD2;JP NC, {0:04X}
0xD3;OUT ({0:02X}), A
0xD4;CALL NC, {0:04X}
0xD5;PUSH DE
0xD6;SUB {0:02X}
0xD7;RST 10H
0xD8;RET C
0xD9;EXX
0xDA;JP C, {0:04X}
0xDB;IN A, ({0:02X})
0xDC;CALL C, {0:04X}
0xDE;SBC A, {0:02X}
0xDF;RST 18H
0xE0;RET PO
0xE1;POP HL
0xE2;JP PO, {0:04X}
0xE3;EX (SP), HL
0xE4;CALL PO, {0:04X}
0xE5;PUSH HL
0xE6;AND {0:02X}
0xE7;RST 20H
0xE8;RET PE
0xE9;JP (HL)
0xEA;JP PE, {0:04X}
0xEB;EX DE, HL
0xEC;CALL PE, {0:04X}
0xEE;XOR {0:02X}
0xEF;RST 28H
0xF0;RET P
0xF1;POP AF
0xF2;JP P, {0:04X}
0xF3;DI
0xF4;CALL P, {0:04X}
0xF5;PUSH AF
0xF6;OR {0:02X}
0xF7;RST 30H
0xF8;RET M
0xF9;LD SP, HL
0xFA;JP M, {0:04X}
0xFB;EI
0xFC;CALL M, {0:04X}
0xFE;CP {0:02X}
0xFF;RST 38H
